file_path,line_number,category,matched_text,token_name,fallback_value
src/app/components/Accordion.css,1,e,var(--cvp-accordion-border-width),--cvp-accordion-border-width,
src/app/components/Accordion.css,1,e,var(--cvp-accordion-border),--cvp-accordion-border,
src/app/components/Accordion.css,1,e,var(--cvp-accordion-radius),--cvp-accordion-radius,
src/app/components/Accordion.css,1,e,var(--cvp-accordion-font-family),--cvp-accordion-font-family,
src/app/components/Accordion.css,2,e,var(--cvp-accordion-divider-width),--cvp-accordion-divider-width,
src/app/components/Accordion.css,2,e,var(--cvp-accordion-divider),--cvp-accordion-divider,
src/app/components/Accordion.css,3,e,var(--cvp-accordion-trigger-gap),--cvp-accordion-trigger-gap,
src/app/components/Accordion.css,3,e,var(--cvp-accordion-trigger-height),--cvp-accordion-trigger-height,
src/app/components/Accordion.css,3,e,var(--cvp-accordion-trigger-padding-y),--cvp-accordion-trigger-padding-y,
src/app/components/Accordion.css,3,e,var(--cvp-accordion-trigger-padding-x),--cvp-accordion-trigger-padding-x,
src/app/components/Accordion.css,3,e,var(--cvp-accordion-trigger-text),--cvp-accordion-trigger-text,
src/app/components/Accordion.css,3,e,var(--cvp-accordion-trigger-bg),--cvp-accordion-trigger-bg,
src/app/components/Accordion.css,3,e,var(--cvp-accordion-font-weight),--cvp-accordion-font-weight,
src/app/components/Accordion.css,3,e,var(--cvp-accordion-font-size),--cvp-accordion-font-size,
src/app/components/Accordion.css,3,e,var(--cvp-accordion-line-height),--cvp-accordion-line-height,
src/app/components/Accordion.css,3,e,var(--cvp-accordion-font-family),--cvp-accordion-font-family,
src/app/components/Accordion.css,3,e,var(--cvp-accordion-letter-spacing),--cvp-accordion-letter-spacing,
src/app/components/Accordion.css,3,e,var(--cvp-accordion-transition),--cvp-accordion-transition,
src/app/components/Accordion.css,4,e,var(--cvp-accordion-trigger-text-hover),--cvp-accordion-trigger-text-hover,
src/app/components/Accordion.css,4,e,var(--cvp-accordion-trigger-bg-hover),--cvp-accordion-trigger-bg-hover,
src/app/components/Accordion.css,4,e,var(--cvp-accordion-focus-ring),--cvp-accordion-focus-ring,
src/app/components/Accordion.css,4,e,var(--cvp-accordion-trigger-text-active),--cvp-accordion-trigger-text-active,
src/app/components/Accordion.css,4,e,var(--cvp-accordion-trigger-bg-active),--cvp-accordion-trigger-bg-active,
src/app/components/Accordion.css,4,e,var(--cvp-accordion-text-disabled),--cvp-accordion-text-disabled,
src/app/components/Accordion.css,4,e,var(--cvp-accordion-disabled-opacity),--cvp-accordion-disabled-opacity,
src/app/components/Accordion.css,4,b,z-index:1,,
src/app/components/Accordion.css,4,b,box-shadow:var(--cvp-accordion-focus-ring),,
src/app/components/Accordion.css,5,e,var(--cvp-accordion-title-gap),--cvp-accordion-title-gap,
src/app/components/Accordion.css,5,e,var(--cvp-accordion-icon-size),--cvp-accordion-icon-size,
src/app/components/Accordion.css,5,e,var(--cvp-accordion-icon-size),--cvp-accordion-icon-size,
src/app/components/Accordion.css,5,e,var(--cvp-accordion-leading-icon),--cvp-accordion-leading-icon,
src/app/components/Accordion.css,5,e,var(--cvp-accordion-leading-icon-primary),--cvp-accordion-leading-icon-primary,
src/app/components/Accordion.css,6,e,var(--cvp-accordion-icon-size),--cvp-accordion-icon-size,
src/app/components/Accordion.css,6,e,var(--cvp-accordion-icon-size),--cvp-accordion-icon-size,
src/app/components/Accordion.css,6,e,var(--cvp-accordion-chevron),--cvp-accordion-chevron,
src/app/components/Accordion.css,6,e,var(--cvp-accordion-transition-duration),--cvp-accordion-transition-duration,
src/app/components/Accordion.css,6,e,var(--cvp-accordion-transition-easing),--cvp-accordion-transition-easing,
src/app/components/Accordion.css,7,e,var(--cvp-accordion-content-text),--cvp-accordion-content-text,
src/app/components/Accordion.css,7,e,var(--cvp-accordion-content-bg),--cvp-accordion-content-bg,
src/app/components/Accordion.css,7,e,var(--cvp-accordion-content-duration),--cvp-accordion-content-duration,
src/app/components/Accordion.css,7,e,var(--cvp-accordion-transition-easing),--cvp-accordion-transition-easing,
src/app/components/Accordion.css,7,e,var(--cvp-accordion-content-padding-y),--cvp-accordion-content-padding-y,
src/app/components/Accordion.css,7,e,var(--cvp-accordion-content-padding-x),--cvp-accordion-content-padding-x,
src/app/components/Accordion.css,7,e,var(--cvp-accordion-content-font-size),--cvp-accordion-content-font-size,
src/app/components/Accordion.css,7,e,var(--cvp-accordion-content-line-height),--cvp-accordion-content-line-height,
src/app/components/Accordion.css,9,e,var(--cvp-space-1),--cvp-space-1,
src/app/components/AccordionDocumentation.css,1,e,var(--cvp-color-text-secondary),--cvp-color-text-secondary,
src/app/components/AccordionDocumentation.css,1,e,var(--cvp-font-size-sm),--cvp-font-size-sm,
src/app/components/AccordionDocumentation.css,1,e,var(--cvp-line-height-normal),--cvp-line-height-normal,
src/app/components/AccordionDocumentation.css,1,e,var(--cvp-space-2),--cvp-space-2,
